symbol,company_name,sector,industry,exchange,logo_url
AAPL,Apple Inc.,Technology,Consumer Electronics,NASDAQ,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AAPL.png
MSFT,Microsoft Corporation,Technology,Software—Infrastructure,NASDAQ,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/MSFT.png
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,NASDAQ,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/GOOGL.png
AMZN,Amazon.com Inc.,Consumer Cyclical,Internet Retail,NASDAQ,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AMZN.png
TSLA,Tesla Inc.,Consumer Cyclical,Auto Manufacturers,NASDAQ,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/TSLA.png
META,Meta Platforms Inc.,Communication Services,Internet Content & Information,NASDAQ,https://companieslogo.com/img/orig/META-4767da84.png
NVDA,NVIDIA Corporation,Technology,Semiconductors,NASDAQ,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/NVDA.png
JPM,JPMorgan Chase & Co.,Financial Services,Banks—Diversified,NYSE,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/JPM.png
V,Visa Inc.,Financial Services,Credit Services,NYSE,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/V.png
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers—General,NYSE,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/JNJ.png
